MAKE,BASEMODEL,CLASS
Acura,CL,Sedan
Acura,ILX,Sedan
Acura,Legend,Sedan
Acura,TL,Sedan
Acura,TLX,Sedan
Acura,TSX,Sedan
Acura,Vigor,Sedan
Alfa Romeo,164,Sedan
Audi,100,Sedan
Audi,80/90,Sedan
Audi,A3,Sedan
Audi,A4,Sedan
Audi,A6,Sedan
Audi,RS 4,Sedan
Audi,S4,Sedan
Audi,S6,Sedan
Audi,V8,Sedan
BMW,2 Series,Sedan
BMW,3 Series,Sedan
BMW,4 Series,Sedan
BMW,5 Series,Sedan
BMW,6 Series,Sedan
BMW,7 Series,Sedan
BMW,M,Sedan
BMW,i5,Sedan
Bentley,Azure,Sedan
Bentley,Brooklands,Sedan
Bentley,Continental,Sports Sedan
Lincoln,Continental,Sports Sedan
Bill Dovell Motor Car Company,Dovell 230CE,Sedan
Bill Dovell Motor Car Company,Dovell 230E,Sedan
Bitter Gmbh and Co. Kg,Bitter SC,Sedan
Buick,Riviera,Sedan
Buick,Skyhawk,Sedan
Buick,Skylark,Sedan
Buick,Somerset Regal,Sedan
Buick,Somerset/Skylark,Sedan
Buick,Verano,Sedan
Cadillac,ATS,Sedan
Cadillac,ATS-V,Sedan
Cadillac,CT4,Sedan
Cadillac,Cimarron,Sedan
Cadillac,Eldorado,Sedan
Chevrolet,Aveo,Sedan
Chevrolet,Beretta,Sedan
Chevrolet,Camaro,Sedan
Chevrolet,Cavalier,Sedan
Chevrolet,Cobalt,Sedan
Chevrolet,Corsica,Sedan
Chevrolet,Cruze,Sedan
Chevrolet,Nova,Sedan
Chevrolet,Optra,Sedan
Chevrolet,Prizm,Sedan
Chevrolet,Sonic,Sedan
Chevrolet,Volt,Sedan
Chrysler,200,Sedan
Chrysler,JX/JXI/Limited Convertible,Sedan
Chrysler,LeBaron,Sedan
Chrysler,Sebring,Sedan
Daewoo,Kalos,Sedan
Daewoo,Lacetti,Sedan
Daewoo,Lanos,Sedan
Daewoo,Nubira,Sedan
Dodge,Avenger,Sedan
Dodge,CSX,Sedan
Dodge,Challenger,Sedan
Dodge,GLH-S,Sedan
Dodge,Neon,Sedan
Dodge,Neon/SRT-4/SX 2.0,Sedan
Dodge,Omni,Sedan
Dodge,Shadow,Sedan
Dodge,Stratus,Sedan
Ferrari,F175 AHA,Sedan
Ford,Contour,Sedan
Ford,Escort,Sedan
Ford,Fiesta,Sedan
Ford,Focus,Sedan
Ford,Laser,Sedan
Ford,Probe,Sedan
Ford,Tempo,Sedan
Ford,Thunderbird,Sports Sedan
Genesis,G70,Sedan
Geo,Prizm,Sedan
Honda,Accord,Sedan
Honda,Civic,Sedan
Honda,EV Plus,Sedan
Honda,Insight,Sedan
Hyundai,Accent,Sedan
Hyundai,Accent/Brio,Sedan
Hyundai,Elantra,Sedan
Hyundai,J-Car/Elantra,Sedan
Hyundai,Precis,Sedan
Hyundai,Veloster,Sedan
Import Trade Services,BMW 325I,Sedan
Import Trade Services,ITS 320,Sedan
Import Trade Services,MB 300E,Sedan
Infiniti,G20,Sedan
Infiniti,G35,Sedan
Infiniti,M45,Sedan
Infiniti,Q50,Sedan
Infiniti,QX30,Sedan
Isuzu,Stylus,Sedan
J.K. Motors,190E 2.3 MERC BENZ,Sedan
Jaguar,X-Type,Sedan
Jaguar,XE,Sedan
Jaguar,XJ,Sedan
Jaguar,XJR,Sedan
Kandi,K27,Sedan
Kenyon Corporation Of America,Kenyon 5.0 Coupe,Sedan
Kenyon Corporation Of America,Kenyon 5.0 Sp Sedan,Sedan
Kia,Forte,Sedan
Kia,Rio,Sedan
Kia,Sephia,Sedan
Kia,Sephia/Spectra,Sedan
Kia,Spectra,Sedan
Lambda Control Systems,300E,Sedan
Lexus,UX,Sedan
Lexus,TX,SUV
Lexus,SC430,Sedan
Lexus,SC400,Sedan
Lexus,SC300,Sedan
Lexus,SC,Sedan
MINI,Paceman,Sedan
Mazda,2,Sedan
Mazda,3,Sedan
Mazda,323,Sedan
Mazda,323 Protege,Sedan
Mazda,626,Sedan
Mazda,CX-3,Sedan
Mazda,Millenia,Sedan
Mazda,Protege,Sedan
Mazda,Protege/Protege 5,Sedan
Mazda,Protege/Protege MPS,Sedan
Mcevoy Motors,240 DL/240 GL Sedan,Sedan
Mercedes-Benz,190,Sedan
Mercedes-Benz,200,Sedan
Mercedes-Benz,230,Sedan
Mercedes-Benz,260,Sedan
Mercedes-Benz,300,Sedan
Mercedes-Benz,350,Sedan
Mercedes-Benz,380,Sedan
Mercedes-Benz,400,Sedan
Mercedes-Benz,500,Sedan
Mercedes-Benz,560,Sedan
Mercedes-Benz,C-Class,Sedan
Mercedes-Benz,CL-Class,Sedan
Mercedes-Benz,CLA-Class,Sedan
Mercedes-Benz,CLS-Class,Sedan
Mercedes-Benz,E-Class,Sedan
Mercedes-Benz,S-Class,Sedan
Mercury,Cougar,Sedan
Mercury,Lynx,Sedan
Mercury,Mystique,Sedan
Mercury,Topaz,Sedan
Mercury,Tracer,Sedan
Merkur,XR4Ti,Sedan
Mitsubishi,Diamante,Sedan
Mitsubishi,Galant,Sedan
Mitsubishi,Lancer,Sedan
Mitsubishi,Mirage,Sedan
Mitsubishi,Precis,Sedan
Mitsubishi,Sigma,Sedan
Nissan,Altima,Sedan
Nissan,Altima / Stanza,Sedan
Nissan,Maxima,Sedan
Nissan,Sentra,Sedan
Nissan,Stanza,Sedan
Nissan,Versa,Sedan
Oldsmobile,Achieva,Sedan
Oldsmobile,Alero,Sedan
Oldsmobile,Calais,Sedan
Oldsmobile,Cutlass Calais,Sedan
Oldsmobile,Firenza,Sedan
Oldsmobile,Omega,Sedan
Peugeot,405,Sedan
Peugeot,505,Sedan
Peugeot,604,Sedan
Plymouth,Horizon,Sedan
Plymouth,Neon,Sedan
Plymouth,Sundance,Sedan
Plymouth,Sundance/Duster,Sedan
Pontiac,G3,Sedan
Pontiac,G6,Sedan
Pontiac,GTO,Sedan
Pontiac,Grand Am,Sedan
Pontiac,Lemans,Sedan
Pontiac,Sunbird,Sedan
Pontiac,Sunfire,Sedan
Pontiac,Wave,Sedan
Porsche,Taycan,Sedan
Renault,Alliance/Encore,Sedan
Renault,GTA,Sedan
Rolls-Royce,Camargue,Sedan
Bentley,Continental,Sports Sedan
Rolls-Royce,Dawn,Sedan
Rolls-Royce,Phantom,Sedan
Rolls-Royce,Spectre,Sedan
STI,S209,Sedan
Saab,3-Sep,Sedan
Saab,900,Sedan
Saturn,Astra,Sedan
Saturn,Ion,Sedan
Saturn,SL,Sedan
Scion,tC,Sedan
Sterling,825,Sedan
Sterling,827,Sedan
Subaru,Impreza/Outback Sport,Sedan
Subaru,Legacy/Outback,Sedan
Subaru,Loyale,Sedan
Subaru,Sedan,Sedan
Subaru,WRX,Sedan
Suzuki,Aerio,Sedan
Suzuki,Forenza,Sedan
Suzuki,Kizashi,Sedan
Suzuki,Reno,Sedan
Suzuki,SX4,Sedan
Suzuki,Swift,Sedan
Texas Coach Company,500SEC,Sedan
Toyota,C-HR,Sedan
Toyota,Camry,Sedan
Toyota,Corolla,Sedan
Toyota,Cressida,Sedan
Toyota,Echo,Sedan
Toyota,Mirai,Sedan
Toyota,Prius,Sedan
Toyota,Prius c,Sedan
Toyota,Yaris,Sedan
Volkswagen,Beetle,Sedan
Volkswagen,CC,Sedan
Volkswagen,GLI,Sedan
Volkswagen,Golf/GTI,Sedan
Volkswagen,Jetta,Sedan
Volkswagen,Passat,Sedan
Volkswagen,Quantum,Sedan
Volkswagen,R32,Sedan
Volkswagen,Rabbit,Sedan
Volvo,240,Sedan
Volvo,780,Sedan
Volvo,960,Sedan
Volvo,960/S90,Sedan
Volvo,C30,Sedan
Volvo,C70,Sedan
Volvo,Coupe,Sedan
Volvo,S40,Sedan
Volvo,S60,Sedan
Volvo,S90,Sedan
Wallace Environmental,Wetl 300,Sedan
Wallace Environmental,Wetl 412,Sedan
Wallace Environmental,Wetl 500,Sedan
Wallace Environmental,Wetl 560,Sedan
Acura,Integra,Sedan
Audi,A8,Sedan
Audi,S8,Sedan
BMW,X1,Sedan
BMW,i7,Sedan
BMW Alpina,7 Series,Sedan
Bentley,Arnage,Sedan
Buick,Electra/Park Avenue,Sedan
Buick,LeSabre,Sedan
Buick,Lucerne,Sedan
Buick,Park Avenue,Sedan
Buick,Regal,Sedan
Buick,Roadmaster,Sedan
CCC Engineering,Duntov GT,Sedan
CX Automotive,CX,Sedan
Cadillac,Armored DTS,Sedan
